9|7|10|0|6 , file disclosure vulnerability information exposure
9|7|10|0|6 , bypass access restriction view file
1|3 , download file access improper access control
0|6|7 , denial service
9|7|10|0|6 , information disclosure group epic information
9|7|10|0|6 , obtain sensitive information wiki page unspecified vector
9|7|10|0|6 , privilege escalation
0|9 , origin reflection attack null origin attack
9|7|10|0|6 , obtain sensitive field information cache block
0|6|7 , dll search path privilege escalation
0|6|7 , verify request xmpp server dialback response spoof domain verify response authorization response
0|6|7 , elevate privilege incomplete input validation http request elevate privilege level administrator gain control affected device
2 , unprotected transport credential collect login detail ldap server secure connection
0|6|7 , properly handle user mode input pass kernel mode gain privilege craft application
0|6|7 , prototype pollution add modify property object.prototype proto payload
9|7|10|0|6 , upload explore file cmsmodules/ medialibrary formcontrol liveselector insertimageormedia tabs_media.aspx configure media library permission read modify upload file
0|6|7 , dll hijacking execute code
9|7|10|0|6 , information disclosure obtain local domain credential sniff traffic element
9|7|10|0|6 , properly unset authorized user role gain privilege obtain sensitive information access page find 404
5 , elevation privilege improperly handle object memory
0|6|7 , validation untrusted input arbitrarily browser malicious url craft html page
2 , protect datum transit
0 , disclosure credential
0|6|7 , validate input parameter registerbuffer api arbitrary code execution denial service escalation privilege
4|0|6|7 , elevate privilege administrator improper authorization enforcement specific feature access log file contain confidential information submit craft http message affected system unauthorized action retrieve sensitive datum log impersonate legitimate privileged user elevate privilege administrator
8|9 , download file rhel environment modification link access confidential information
4|0|6|7 , hard code credential password cryptographic key encryption internal datum
4|0|6|7 , information leak connect mqtt server obtain information device send specific topic
3|9|7|6|0|1 , reset password administrator account shell access read /etc shadow file dump root hash crack easily complete system compromise
9|7|10|0|6 , nvlddmkm.sys leak kernel memory content uninitialized buffer
0|6|7 , spoof address bar craft web site
3|9|7|6|0|1 , authentication bypass account register.php portal add_edit_event_user.php portal find_appt_popup_user.php portal get_allergies.php portal get_amendments.php portal get_lab_results.php portal get_medications.php portal get_patient_documents.php portal get_problems.php portal get_profile.php portal portal_payment.php portal messaging messages.php portal messaging secure_chat.php portal report pat_ledger.php portal report portal_custom_report.php portal report portal_patient_report.php
9|7|10|0|6 , connection detail repair table action
0|6|7 , bypass intend restriction post type craft input
0|6|7 , abap injection attack execute arbitrary code internet communication framework icf http https
9|7|10|0|6 , obtain sensitive information tempurl dlo object manifest
4|0|6|7 , obtain access knowledge credential
0|6|7 , validate field boot image code execution denial service escalation privilege information disclosure
9|7|10|0|6 , properly protect private key simatic controller certification authority spoof s7 1200 web server forge certificate
9|7|10|0|6 , properly restrict availability iframe resource timing api time bypass origin policy obtain sensitive information craft javascript code history.back incomplete fix
0|6|7|9 , elevation privilege execute arbitrary code gain local access elevate capability
0|6|7 , execute arbitrary command underlie linux shell insufficient validation user supply input malicious request certain interface
0|6|7 , improper input validation kernel crash
0|6|7|9 , incorrect implementation impersonate user include contact social engineering attack
9|7|10|0|6 , handling timer information obtain cross origin url craft html page
9|7|10|0|6 , information disclosure reveal sensitive information
9|7|10|0|6 , error message enumerate vlan
0|6|7 ,
0|6|7 , enable information disclosure
4|0|6|7 , calculate guess admin access token
0|6|7 , read arbitrary file craft xml document xml external entity declaration xml external entity xxe
0|6|7 , remote code execution execute arbitrary java code
5 , memory leak dos
4|0|6|7 , execute arbitrary code service user account hard code password execute arbitrary code
0|6|7 , denial service session drop bgp update message construct invalid message
0|6|7 , remote code execution gain root access
9|7|10|0|6 , information exposure limited knowledge javascript code
0|6|7 , tls certificate incorrectly validate unspecified vector
9|7|10|0|6 , discover private project issue journal detail
9|7|10|0|6 ,
0|6|7|9 , access arbitrary physical memory escalation privilege
4|0|6|7 , hardcode credential
3|9|7|6|0|1 , complete authentication knowledge password hash
0|6|7 , input validation poison log file specially craft input
0|6|7 , fill overflow
0|6|7 ,
3|9|7|6|0|1 , bypass authentication
9|7|10|0|6 , obtain sensitive information process memory craft web site
0|6|7 , untrusted search path gain privilege .c02 .dof .jrf
0|6|7 , ensure unique identifier dci client table gain privilege craft application
2 , operate remote parking pilot unlock vehicle obtain sensitive information
5 , memory resource controller shutdown hard crash controller flow flooding attack overflow attack resource consumption resource consumption
0|6|7 , properly handle large number form submission denial service application crash
3|9|4|7|0|6 ,
2 , fix size https response extract private sensitive information
0|6|7 , properly handle route adjacency denial service device hang craft ip packet
0|6|7 , properly check variable bypass intend restriction view table datum execute craft sql create variable statement
0|6|7 , execute arbitrary code ldap attribute craft serialize java object ldap entry poisoning
9|7|10|0|6 , information disclosure
0|6|7 , denial service
0|6|7 , obtain ownership arbitrary file symlink attack
0|6|7|9 , improper access control request cloud provider create request cloud credential id attach request credential
10 , namespace conflict untrusted client datum http_proxy environment variable redirect cgi application outbound http traffic arbitrary proxy server craft proxy header http request httpoxy
3|9|7|6|0|1 , convert sub task issue enumerate following improper authentication vulnerability
3|9|7|6|0|1 , cgi validate user permission add user account administrator privilege newuser pwd
0|6|7 , browse hdfs namespace
9|7|10|0|6 , obtain sensitive information read database entry
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
4|0|6|7 , hardcoded password intellian
9|7|10|0|6 , disclosure administrative credential
0|6|7 , remote code execution check source markup file run arbitrary code remote code execution
3|9|4|7|0|6 , interact datum party database sql user password sniff detail connection string
0|6|7|9 , properly restrict origin event modify sharing preference
0|6|7 ,
5 , memory leak
0|6|7 , elevation privilege
0|6|7 , insufficient parameter verification arbitrary memory free trick user instal malicious application smart phone send parameter driver release special kernel memory resource phone crash arbitrary code execution
0|6|7 , improper input validation enable information disclosure
0|6|7 , properly verify server hostname match domain subject x.509 certificate spoof arbitrary ssl server certificate issue legitimate certification authority ip address
0|6|7 , run_command run command.c
0|6|7 , inventory variable load current working run arbitrary code
9|7|10|0|6 , information exposure download file inside web- specially construct url incomplete fix
0|6|7 , validation issue
0|6|7 , denial service segmentation fault application crash malformed dpx file
0|6|7 , incorrect enforcement csp bypass content security policy craft html page
9|7|10|0|6 , properly initialize memory message vhost_new_msg function read kernel memory content /dev vhost net device file
2 , http strict transport security hsts man middle mitm
0|6|7 , dll injection
9|7|10|0|6 , determine master key value decrypt tls ciphertext datum
0|6|7 , --pidfile option gain privilege symlink attack pid file
9|7|10|0|6 , parse craft xml entry information disclosure
3|9|7|6|0|1 , authentication bypass craft xmpp request gain access local api
3|9|7|6|0|1 , authentication bypass gain access perform action affected system
0|6|7 , property binder improper neutralization special element supply specially craft request parameter remote code execution attack
9|7|10|0|6 ,
2 , spoof vulnerability reply url
1|0|3|9 , policy enforcement download bypass download restriction craft html page
0|6|7 , escape sandbox
0|6|7 , ecc curve downgrade attack unspecified vector
9|7|10|0|6 , web page contain external link request query string obtain sensitive information cross domain referer leakage
0|6|7 , execute arbitrary code gain control affected system issue command root privilege reload denial service dos incomplete input validation user control input craft http request affect system execute arbitrary code gain control affected system reload dos condition
0|6|7 , enforce validation e mail address modify registered e mail address validation code
0|6|7 , inject additional fluentd configuration read file execute arbitrary command
3|9|7|6|0|1 , bypass authentication perform unauthorized action job message queue direct connection broker
9|7|10|0|6 , obtain sensitive information direct request .php file error message ws user_mod.php
9|7|10|0|6 , information disclosure improperly disclose content memory
9|7|10|0|6 , obtain sensitive information login id system
9|7|10|0|6 , information disclosure object memory information disclosure
0|6|7 , device reload incorrect processing specific value device reload denial service dos condition
9|7|10|0|6 , complete verification session cookie bypass session check core print job component craft http post request
9|7|10|0|6 , information disclosure improperly handle object memory information disclosure
3 , challenge response mechanism access server password send unauthenticated request server weakly hash version server access password crack hash offline successfully login server
0|6|7 , denial service information disclosure adjacent access
0|6|7 , execute arbitrary code craft expression
0|6|7 , unintialized datum access
9|7|10|0|6 , properly identify host portion url obtain sensitive information construction http request incorrect hostname derive malforme url
0|6|7 , properly validate publication source url trigger arbitrary outbound tcp traffic craft source field ftp url gopher url server request forging ssrf
0|6|7 , denial service denial service send specially craft ip fragment
0|9 , httponly attribute authorization token cross site scripting cookie value malicious javascript hijack user session
0 , properly neutralize sensitive datum read data confidentiality
3|9|4|7|0|6 , compromise user account
3|9|7|6|0|1 , bypass authentication modify setting direct request unspecified url
3|9|7|6|0|1 , bypass system manager mode pin /checklogin.cgi /portal_top.html access device
1|0|3|9 , miss certification validation disclose pre logon authentication cookie man the- manipulate arp arp spoofing attack access globalprotect server
0|9 , persistent cookie intercept cookie gain access sensitive information
0|6|7|9 , bypass entitlement protection mechanism obtain access task port arbitrary process root privilege
9|7|10|0|6 , write client d secret --client credential flag
9|7|10|0|6 , obtain sensitive information direct request /dashboard deposit uri discover database credential
0|6|7 , incorrect access control user supply string
0|6|7 , denial service memory consumption craft http request
5 , denial service memory consumption series request large file http range header
0|6|7 , domain spoofing craft domain
0|6|7 , redirect user arbitrary web site phishing attack unspecified vector
0|6|7 , properly validate server response negative content length
9|7|10|0|6 , hijack environment variable
0|6|7 , gain privilege cli copy command
0|6|7 , denial service
0|6|7 , integer signedness error denial service memory corruption crash crafted pack executable
9|7|10|0|6 , information disclosure local malicious application access datum outside permission level compromise privileged process
9|7|10|0|6 , information disclosure local malicious application access datum outside access sensitive datum
3|9|7|6|0|1 , obtain login access knowledge md5
9|7|10|0|6 , proper state tracking bypass navigation restriction craft html page
4|0|6|7 , access externally disclose myprint wsdl api encrypt password mail server print file
0|6|7 , elevation privilege handle object memory
0|6|7|9 , restart command respawncommand ` proccmdline ` field
3|9|7|6|0|1 , properly handle configuration validation error bypass authentication unspecified vector
0|6|7 , denial service assertion failure daemon exit response contain
0|6|7|9 , execute arbitrary code -o --open file pager
0|6|7 , remote code execution specially craft embed font microsoft graphics remote code execution
0|9 , /bin set session cookie phpsessid= header achieve persistent access admin panel
0|6|7 , open redirect redirect user arbitrary web site phishing attack unspecified vector
0|9 , admin session hijacking session cookie step backward possible session value admin control secondary ssid backdoor network
5 , high disk utilization denial service dos condition unbounded write send steady stream remote authentication request increase size system log file consume disk space lack available disk space dos condition operate abnormally
4|0|6|7 , hardcode database account administrative privilege gain unauthorized access database
0|6|7 , denial service application crash wrong return value pdfdoc::setup craft pdf file
0|6|7 , properly handle correctly authenticate unintended login attempt obtain sensitive information login attacker account compose e mail message login csrf
0|6|7|9 , access view user argument handler substitute user d url
9|7|10|0|6 , obtain access keychain item craft app
3|9|7|6|0|1 , capture download packet limit scope information capture download
9|7|10|0|6 , obtain sensitive information unspecified vector
9|7|10|0|6 , information disclosure improperly disclose content memory
3|9|7|6|0|1 , authentication bypass access sensitive datum
3|9|7|6|0|1 , authentication bypass
9|7|10|0|6 , lack cors check leak limited cross origin datum craft html page
3|9|7|6|0|1 , authentication bypass password login page access privileged functionality directly access api
10 , bypass authentication direct request .html file specific screen monitor.html
0|6|7 , memory corruption unexpected application termination arbitrary code execution
9|7|10|0|6 , bypass intend memory read restriction craft app
0|9 , hijack user administrative session session fixation reuse preauthentication session token hijack exist user session
9|7|10|0|6 , port scanning attack host port cms parameter
9|7|10|0|6 , xml serialization obtain sensitive information direct request request users/1.xml
0|6|7 , improper input validation dos server
9|7|10|0|6 , read arbitrary pod log container
3|9|7|6|0|1 , incorrect regular expression denial service incorrect block ip address craft login
0|6|7 , esa properly handle group gain role privilege group similarity
9|7|10|0|6 , bypass intend data access restriction craft application
0|6|7 , read arbitrary json file local file inclusion
0|6|7 , http host header injection user enter value redirect page
9|7|10|0|6 , properly check publication state blog obtain sensitive information read blog entry reference non public file
5 , memory leak denial service craft file
3|9|4|7|0|6 , discover credential
3|9|7|6|0|1 , usage insight http send unlimited number request endpoint denial service dos
0|6|7 , execute cmd.exe program
0|9 , properly validate file run update printer malfunction send malicious datum printer
0|6|7 , open redirect redirect user arbitrary web site phishing attack craft parameter destination url
3|9|7|6|0|1 , privilege escalation delete download protect file improper access control rest interface
3|9|7|6|0|1 , perform authentication certain signal denial service system reboot shutdown
3|9|7|6|0|1 , authentication bypass runtime manipulation return value true authenticate arbitrary passcode attack interest
0|6|7 , insufficient input validation vulnerability tamper air interface signaling obtain communication information
9|7|10|0|6 , obtain sensitive statistics information direct request unspecified url
0|6|7 , denial service service outage malformed request
9|7|10|0|6 , place user namespace remove supplementary group access certain filesystem path restrict access path /proc self setgroup knob privilege escalation
0|6|7 , denial service craft http request
9|7|10|0|6 , escalation privilege local access
3|9|7|6|0|1 , improper authentication vulnerability logic error establish nfc connection target phone series operation
9|7|10|0|6 , information exposure send datum gain administrative access server disable
9|7|10|0|6 , improper file verification escalation privilege local access
0|6|7 , denial service bsod unspecified impact validate input value
9|7|10|0|6 , obtain information host clipboard
0|9 , invalidate session logout impersonate user system
3|9|7|6|0|1 , password admin
9|7|10|0|6 , obtain sensitive information unspecified vector
9|7|10|0|6 , improper access right specific folder contain configuration file inject arbitrary code escalate privilege
0|6|7 , escalation privilege denial service information disclosure
9|7|10|0|6 , obtain sensitive information arbitrary file
9|7|10|0|6 , information disclosure
0|6|7|9 , properly restrict redirect specify tcp port number bypass intend port restriction craft web site
10|3 , sensitive cookie exposure capture cookie
9|7|10|0|6 , obtain private rsa key cache channel attack
10 , local privilege elevation win-911 service overwrite executable escalation privilege
3|9|4|7|0|6 , adequately mask password input
0|6|7|9 , elevation privilege execute arbitrary code compromise privileged process
5 , grow unlimited memory usage memory pressure
9|7|10|0|6 , discover passcode read lock screen use bluetooth keyboard
0|6|7 , write arbitrary file symlink attack unpacked.cpio
9|7|10|0|6 ,
3|9|7|6|0|1 , security bypass obtain unauthorized access live video stream
3|9|7|6|0|1 , authentication bypass runtime manipulation return value true authenticate arbitrary passcode attack interest
9|7|10|0|6 , bypass intend memory read restriction craft app
0|6|7 , properly handle frame element phishing attack craft web site
9|7|10|0|6 , hijack environment variable
9|7|10|0|6 , improper file permission enable disclosure information local access
9|7|10|0|6 , view account_activations edit?token= create approved user account
0|6|7 , open manipulate u3d file receive crashing application temporarily unavailable improper input validation
0|6|7 , reveal bluetooth address target device pair user smartphone
9|7|10|0|6 , properly restrict save file:// url http:// url discover netntlm hash smb relay attack craft web page
0|6|7 , validation issue gain root privilege
5 , error spot stack base buffer overflow write guard value stack prior vulnerable array stack error handler spot corruption buffer overflow buffer underflow
10 , authentication bypass direct request wan.htm page
3|9|7|6|0|1 , improper authentication vulnerability perform sufficient authentication gain certain datum application
0|6|7 , properly validate callback parameter gain privilege craft application
0|6|7 , remote command execution xml.codec= setting
9|7|10|0|6 , information disclosure
0|6|7 , arbitrary code execution script synccpaddonswithsqlhost
9|7|10|0|6 , obtain sensitive information bypass unspecified protection mechanism craft bitstream datum
9|7|10|0|6 , modify file store spotfire library
0|6|7|9 , modify hiddenservice /tmp onionshare directory
0|6|7 , denial service traffic amplification spoof udp packet
0|6|7 , denial service properly validate input privileged user denial service
9|7|10|0|6 , initialize certain length variable obtain sensitive information kernel stack memory craft recvmsg recvfrom
0|6|7 , sip trigger reload affected device denial service dos insufficient sanity check receive sip message send craft sip message affect device reload denial service
0|6|7 , denial service dos send specifically craft input globalprotect app windows blue screen death bsod error
0|6|7 , produce core file configure ha action
0|6|7 , create arbitrary python object execute arbitrary code craft extended yaml tag
3|9|4|7|0|6 , insecure site password
9|7|10|0|6 , obtain sensitive information direct request .php file error message doc
0|6|7 , properly handle http pipelining read response intend client examine application datum http packet mix response request
9|7|10|0|6 , cryptographic key material
9|7|10|0|6 , local file vulnerability
3|9|7|6|0|1 , incorrect access control change password arbitrary user
9|7|10|0|6 , listing post author obtain sensitive information path disclosure /wp json oembed/1.0 embed?url= request author_name substring
9|7|10|0|6 , mod forum obtain detail arbitrary user account
9|7|10|0|6 , discover username password craft parameter unspecified method
9|7|10|0|6 ,
3|9|7|6|0|1 , connect user
9|7|10|0|6 , disclose password hash disclose password hash disclosure password hash
9|7|10|0|6 , obtain sensitive user account e mail address role information
9|7|10|0|6 , specify --owner flag properly validate source software load undesired potentially malicious amazon machine image ami
0|6|7 , uncontrolled resource consumption
9|7|10|0|6 , default privileged account unauthorized information disclosure
0|6|7 ,
1|3 , read file local filesystem jobmanager rest interface jobmanager process
0|6|7 , denial service bsod validate input value
0|6|7 , properly restrict domwindowutil nsdomwindowutils bypass intend access restriction craft javascript code
0|6|7 , denial service component crash craft debug hardware parameter
9|7|10|0|6 ,
9|7|10|0|6 , obtain potentially sensitive information ip address /getgrouptimelinejson.action
2 , cleartext transmission sensitive information gti view request ens gain control intermediate dns server intercept request send response
9|7|10|0|6 , obtain sensitive browsing history information push notification request
9|7|10|0|6 , bypass aslr protection mechanism craft web site
3|9|7|6|0|1 , remote code execution access cmd_exec virtual device
0|6|7 , arbitrary content injection
0|6|7 , insufficient watchdog timer navigation spoof content omnibox url bar craft html page
9|7|10|0|6 , information disclosure view sensitive information
0|6|7 , input verification exploitation insufficient input verification restart
0|6|7 , remote arbitrary code execution
9|7|10|0|6 , discover private key prime channel attack rsa signature failure
3|9|4|7|0|6 , arbitrary file read compromise vnc server /thinvnc.ini directory traversal
0|6|7|9 , check relationship tag address aboot denial service os outage craft application
3|9|7|6|0|1 , obtain sensitive information
0|6|7 , bypass velocity template injection injection vulnerability custom user macro
0|6|7 , denial service packet transmission outage craft packet
3|9|7|6|0|1 , eod disable bidirectional authentication obtain sensitive information craft string response downgrade simple authentication
3|9|7|6|0|1 , properly verify credential joining cluster obtain access messaging functionality job functionality knowledge cluster username
0|6|7 , denial service daemon crash identity column craft alter table statement
3|9|4|7|0|6 ,
9|7|10|0|6 , builtin\users:(i)(f gain privilege trojan horse
0|6|7 , elevation privilege
9|7|10|0|6 , brute force password cracking improper design safe key database access sensitive database information crack user safe password information leak
4|0|6|7 , discover admin credential
9|7|10|0|6 ,
9|7|10|0|6 , information exposure access item
3|9|7|6|0|1 , authentication bypass craft header create valid authenticated session perform action user
0|6|7 , formula injection information disclosure code execution
0|6|7 , crash bes server specially craft xmlschema request
0|6|7 , supply invalid software update image
0|6|7 , execute arbitrary code session parameter localhost localjob.php auth_name parameter localhost pre_connect_check.php
9|7|10|0|6 , discover credential
9|7|10|0|6 , escalate privilege execute low privileged code lack proper permission set file system escalate privilege
0|6|7|9 , properly limit rate authentication attempt obtain access brute force attack administrative password
3|9|4|7|0|6 , incorrect access control incorrect protection vpn certificate
9|7|10|0|6 , bypass authentication obtain sensitive artifact information unspecified vector
9|7|10|0|6 , arbitrary file
9|7|10|0|6 , determine existence unspecified file craft web site microsoft browser information disclosure
0|6|7 , properly determine safe execute method execute arbitrary code craft web site craft .net framework com server endpoint type traversal
9|7|10|0|6 , knowledge session id revoke user session
0|6|7 , create arbitrary file properly validate user supply datum upload file execute code
0|6|7 , uncontrolled search path element arbitrary code execution open malicious file
0|6|7 , dn over- denial service device reload craft ipv4 dns tcp stream
9|7|10|0|6 , obtain sensitive information direct request .php file error message lib
9|7|10|0|6 , index_urlfetch obtain sensitive information unspecified impact bounds heap read
9|7|10|0|6 , obtain sensitive o statistic send taskstats command netlink socket discover length user
9|7|10|0|6 , access file
0|6|7 , improper input validation smuggle request
0|6|7 , certificate authority proxy function capf inject command
3|9|7|6|0|1 , authenticate request change setting proxy server
0|6|7 , properly validate iokit object metadata execute arbitrary code craft app
3|9|7|6|0|1 , lib auth source external.php authenticate arbitrary user user uid cookie
0|6|7 , privilege escalation insufficient input validation execute specially craft script affect product privilege escalation
9|7|10|0|6 , obtain sensitive network interface information request api route beneath request api
10 , default permission escalation privilege local access
3|9|1|7|0|2|6 , unencrypted telnet service blank password admin account gain root access device
9|7|10|0|6 , incorrect acl check
2 , ` --ssl reqd ` command line properly craft perfectly legitimate response curl silently continue operation expose possibly sensitive datum
0|6|7 , file forwarding gain access file ` @@u open target file disallow @@u usage reserve prefix export .desktop file suspicious use token instal flatpak app check content export ` .desktop ` file /var lib flatpak exports/ literal filename follow ` ` ` @@u
9|7|10|0|6 , excessive authorization discover student e mail address
3|9|7|6|0|1 , vnc authentication bypass authentication establish vnc session
9|7|10|0|6 , information leak return bounds kernel memory leak sensitive information privileged token kernel memory address kernel mitigation run program user
3|9|7|6|0|1 , vmp bypass authentication arbitrary platform applications manager pam api unspecified vector
0|6|7 , insufficient domain validation overwrite installation file malicious file execute arbitrary file
3|9|7|6|0|1 , administrative operation device denial of- read manipulate datum configuration setting
0|6|7 , command injection
0|6|7 , bound read improper input validation local information disclosure
9|7|10|0|6 , read arbitrary file craft admin.php?s=tpl/add/id request admin.php?s=tpl/add/id/.\public\config\config.ini.php read global configuration file
0|6|7 , execute arbitrary code denial service memory corruption craft web site memory corruption
0|6|7 , u'heap overflow lack check packet length
0|6|7 , virtual machine communication interface vmci properly restrict memory allocation control code gain privilege unspecified vector
0|6|7 , array index error execute arbitrary code referencing port-46824 tcp packet invalid file pointer index execution entercriticalsection
9|7|10|0|6 , privilege escalation
0|6|7 , --add registry option http https connection registry man- downgrade attack obtain authentication image datum network position client registry block https traffic
9|7|10|0|6 , obtain sensitive information process memory craft web site
2 , local file inclusion retrieve arbitrary file
0|6|7|9 , request arbitrary san service
9|7|10|0|6 , read arbitrary file configuration directory config command
3|9|7|6|0|1 , obtain sensitive information modify datum presence 802.11 network
9|7|10|0|6 , information disclosure check existence file
9|7|10|0|6 , information exposure unauthorized retrieval
9|7|10|0|6 , information exposure read file retrieve administrator credential store plaintext elevate privilege
9|7|10|0|6 , properly restrict access export functionality obtain sensitive information r parameter value export index.php
9|7|10|0|6 , discover credential read detailed error message
0|6|7 , remote code execution properly validate user input remote code execution
9|7|10|0|6 , initialize certain data structure obtain sensitive information kernel stack memory read message
9|7|10|0|6 , information disclosure
0|6|7 , compromise oracle weblogic server takeover oracle weblogic server
9|7|10|0|6 , information disclosure vulnerability obtain sensitive information bluetoothd process memory
9|7|10|0|6 , obtain potentially sensitive information read page smb email address/
0|6|7 , apic escalate privilege root insufficient input validation certain command string alter certain definition affect file underlie fuse driver execute craft command privilege root
0|6|7 , execute arbitrary code specially craft http command execute arbitrary command
4|0|6|7 , access affect device operate system physically connect console port gain access affected device
4|0|6|7 , backdoor account root ssh access server
3|9|7|6|0|1 ,
0|6|7 , remote code execution
9|7|10|0|6 , password plaintext ask user password register obtain sensitive information access database
0|6|7 , remote code execution transmit specially craft ip traffic process crash execute arbitrary code complete system compromise transmit traffic attack
0|6|7 , logic issue
3|9|7|6|0|1 , improper authentication vulnerability improper authentication port execute operation send craft rest message
0|6|7 , improper input validation run remote command inside safepay
9|7|10|0|6 , information disclosure server log referrer header
0|6|7 , denial service stack buffer overflow send craft pdf file affected device clamav scanning process crash denial service
0|6|7 , properly clear ld_debug_output ld_debug environment variable overwrite file symlink attack
0|6|7 , execute malicious program
9|7|10|0|6 , read temporary script file archive file obtain sensitive information craft header http request
9|7|10|0|6 , world readable file
0|6|7 , denial service reboot craft ssl packet
10 , incorrect permission replace malicious file
0|6|7 , access cli instance lack proper input- validation checking establish ssh connection affected controller access affect device cli attack
0|6|7 , remote code execution improper input sanitization parameter use improper file extension filtering upload file contain arbitrary php code main inc lib fileupload.lib.php achieve php code execution
9|7|10|0|6 , gather complete client information https://ip.voidsec.com disclose private ip address stun request
9|7|10|0|6 , clm rdng relm rtc rqm rhapsody dm rsa dm
3|9|4|7|0|6 , access local memory memory dump read extremely sensitive datum credential compromise corresponding backend
0|6|7 , remote code execution
0|6|7 , command injection attack argument beginning | character
9|7|10|0|6 , obtain sensitive information unspecified vector
10 , denial service insecure file permission setting
0|6|7 , elevate privilege root user load malicious library file
0|6|7 , properly validate session bypass intend access restriction visit policyatlas/ unspecified vector
9|7|10|0|6 , relative path traversal attack read sensitive file system
0|6|7 , send request specially craft username post /login endpoint api version inject unsanitized content ldap filter
0|6|7 , determine existence arbitrary file symlink attack /tmp crontab xxxxxxxxxx temporary file perform md5 checksum comparison symlink attack
9|7|10|0|6 , obtain sensitive information id=- query .cfm file error message
0|6|7 , properly validate sector count datum denial service application crash craft cdf file
9|7|10|0|6 , sensitive information world readable copy log error message unhandled exception application respond anr event crash application
3|9|7|6|0|1 , add special http header bypass authentication
9|7|10|0|6 , read configuration file
0|6|7 , parameter tampering parameter hold state
9|7|10|0|6 , remote information disclosure remote information disclosure automated buildpack detection serve file match java buildpack
0|6|7 , crash
5 , create multiple unprivileged domain allocate memory
9|7|10|0|6 , export exist pad instance
9|7|10|0|6 , read arbitrary file ntpclientcounterlogfile parameter cgi bin/ curl support
3|9|4|7|0|6 , discover credential
0|9 , origin theft cross origin url entry meta http equiv="refresh page redirection site performance.getentrie origin policy data theft
9|7|10|0|6 , read private data structure request view
9|7|10|0|6 , information leakage task = getuserbycommentid request
9|7|10|0|6 , security feature bypass
0|6|7 , denial service process outage malforme rpc authentication message
9|7|10|0|6 , obtain sensitive information http request
10|3 , generate ssl certificate monitor network traffic steal user credential credential user
9|7|10|0|6 , information disclosure
9|7|10|0|6 , steal developer code receive hmr message
9|7|10|0|6 , information disclosure object memory
0|6|7|9 , hijacking attack bypass acl check craft host value
9|7|10|0|6 , obtain sensitive information direct request .php file error message signup_captcha signup_captcha.php
4|0|6|7 , hard code key decrypt
0|6|7 , dos vulnerability insufficient validation network quality analysis nqa send malformed nqa packet target device device restart
4|0|6|7 , log affected virtual appliance presence default static user credential log affected appliance
9|7|10|0|6 , cache.db
0|6|7 , craft post web browser hang
0|6|7 , rdcyhost.exe validate supply identifier execute remote com object
0|6|7 , array index error execute arbitrary code craft packet
9|7|10|0|6 , verify hostname ssl connection obtain sensitive information man middle- attack
0|6|7 , manipulate work order forge emails far advanced attack
9|7|10|0|6 , privilege escalation gain access command line interface cli escalate privilege perform attack
9|7|10|0|6 , read arbitrary file
3|9|7|6|0|1 , incorrect access control df.php issue.php load.php mem.php traf.php uptime.php
0|6|7 , inject arbitrary cookie craft http request
0|6|7 , execute arbitrary command shell metacharacters
0|6|7 , address argument validation
9|7|10|0|6 , default obtain sensitive information direct request error message
3|9|7|6|0|1 , gain unauthorized access complete authentication process execute data management protocol command craft input parameter access arbitrary file
0|6|7 , denial service send overly long junk payload
4|0|6|7 , hardcode credential resetpwd.xml
0|6|7 , untrusted search path execute malicious .dll file
3|9|7|6|0|1 , properly handle invalid aaa return code bypass authentication connection attempt invalid code blank password
1|3 , obtain sensitive information sessionmanagement cookie
0|6|7 , command injection attack insufficient input validation command argument inject craft command argument telnet cli command read write arbitrary file
5 , denial service improper memory management memory leakage denial service
0|6|7 , denial service dos compromise affect system
0|6|7 , common.tabs.php
2 , obtain sensitive information
9|7|10|0|6 , properly restrict access read arbitrary file filename parameter copyfile operation obtain sensitive information directory listing listdirectory operation
0|6|7 , mount untrusted container filesystem code execution
0|6|7 , code execution root arbitrary file write cgi_untar code
4|0|6|7 , use default credential execute arbitrary system command
0|6|7 , verify server hostname cn spoof ssl server arbitrary valid certificate
9|7|10|0|6 , bypass intend memory read restriction craft app
0|6|7 , import keyring gnupg argument order check gpg subkey install trojan horse package man the- mitm attack
0|6|7 ,
0|6|7 , improper input validation arbitrary javascript execution acquire modify certified pdf document open document
0|6|7 , api issue access microphone
0|6|7 , arbitrary file chown reassign_post_terminate_cruft
9|7|10|0|6 , locally cache browser datum obtain sensitive information
9|7|10|0|6 , information disclosure local malicious application access datum outside compromise privileged process
0|6|7 , dll preloading
9|7|10|0|6 , read arbitrary file xml document contain external entity declaration entity reference xml external entity xxe
4|0|6|7 , hidden root account
0|6|7 , properly handle callback denial service firefox crash execute arbitrary code craft request
3|9|7|6|0|1 , improper authentication vulnerability gain sensitive information alter configuration
9|7|10|0|6 , local privilege elevation game directory overwrite executable instal game execute arbitrary code
10 , check user view page receive workbox notification
9|7|10|0|6 , imc obtain sensitive information unknown vector
3|9|7|6|0|1 , origin information spoof proxy authentication login prompt trigger incorrect credential storage modify client server data stream
9|7|10|0|6 , product credential gain privilege craft application
5 , memory leak
9|7|10|0|6 , read plain text password
0|6|7 , execution unnecessary privilege symlink hard link attack overwrite critical root file
9|7|10|0|6 , src obtain sensitive information craft application iw_set_priv ioctl
0|6|7 , gain privilege embed command unspecified parameter
