7|9|6|0|10 , local privilege escalation
3|10 , mitm attack
7|9|6|0|10 , information leak instal malicious application smart phone file
7|9|6|0|10 , obtain authentication credential
7|6|0 , denial service dos condition unexpectedly restart is&ndash;is process dos condition
7|6|0 , crash
7|6|0 , spoof server man the- middle mitm
7|9|6|0|10 , log user system password obtain sensitive information
3|7|6|9|1|0 , login ldap base account
5 , denial service memory consumption
7|6|9|0 , decode zero mb denial service device hang reboot
7|6|0 , untrusted search path execute arbitrary code
7|9|6|0|10 , disclose sensitive information read past end allocate object execute code
7|9|6|0|10 , log file write non standard location privilege escalation
7|9|6|0|10 , obtain sensitive information javascript information disclosure
7|6|0 , denial service infinite loop
7|6|4|0 , execute arbitrary code
7|6|0 , restart process
7|9|6|0|10 , obtain sensitive information obtain sensitive information
10 , send arbitrary sms text arbitrary destination
3|7|9|6|4|0 , gain access data source credential
7|6|0 , mime type registration execute arbitrary code
7|9|6|0|10 , obtain sensitive information
7|6|0 , improper neutralization user datum arbitrary code execution
7|9|6|0|10 , privilege escalation
7|9|6|0|10 ,
7|9|6|0|10 , storage location history local information disclosure
7|6|9|0 , execute arbitrary shell command
7|6|0 , denial service bounds write unspecified impact
7|6|9|0|10 , insecure permission information disclosure swap directory traffic redirect
3|7|6|9|1|0 , perform arbitrary modification read write
7|9|6|0|10 , disclose information information disclosure
10 , intent scheme hijacking.[a
7|6|0 , http header injection http header injection
9|0 , elevation privilege
3|7|6|9|1|0 , change media streaming setting leakage sensitive information
7|6|0 , gain privilege execute arbitrary command
7|6|0 , arbitrary file deletion delete arbitrary file
7|6|0 , gain privilege
3|7|6|9|1|0 , authentication bypass interpret select remote traffic local traffic bypass web authentication send authenticate snmp request
7|6|0 , remote code execution
7|6|0 , uncontrolled search path element uncontrolled search path element execute arbitrary code target system
7|9|6|0|10 , insecure permission
7|9|6|0|10 , denial service daemon crash
7|9|6|0|10 , bypass authorization check rpc
5 , create_cq create_qp memory leak
7|9|6|0|10 , information disclosure
7|6|9|0 , bypass intend access restriction obtain sensitive information
7|6|9|0 , compromise oracle flexcube core banking unauthorized read access
5 , memory leak denial service
7|6|0 , remote denial service
7|9|6|0|10 , obtain credential execute arbitrary command
7|6|0 , layer 2 radio frequency rf access point ap reload denial service dos condition ap reload dos condition
7|6|0 , execute arbitrary code
7|6|9|0 , bypass intend access restriction modify administrative credential
7|6|0 , gain privilege denial service system crash
7|6|0 , unauthenticated remote code execution
5 , denial service dos
7|6|0 ,
7|9|6|0|10 , read arbitrary file xml external entity xxe attack
7|6|0 , numeric error send specially craft sccp message numeric error service abnormal
3|7|6|9|1|0 , bypass authentication execute arbitrary ipmi command
7|6|4|0 , confidentiality issue
7|9|6|0|10 , bypass aslr protection mechanism
7|6|9|0 , tcp connection restrict port
9|0 , session fixation hijack web session
7|6|0 , obtain sensitive information memory denial service bounds read crash
7|6|9|0 , bypass authentication
7|9|6|0|10 , execute arbitrary code information disclosure escalation privilege denial service
9|0 , version downgrade
7|9|6|0|10 , exposure kernel stack memory
7|6|0 , local privilege escalation dll hijacking execute arbitrary code
3|7|6|4|0 , configure external network access bypass network limit security risk
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , reuse time password otp complete transaction
7|6|0 , arbitrary code execution
7|6|0 , obtain sensitive information denial service application crash
7|6|0 , denial service null pointer dereference application crash
7|9|6|0|10 , access object file system exfiltrate object file system
7|6|9|0 , bypass origin policy
7|6|0 , predict result string
7|6|0 , spoof ssl server
3|7|6|9|1|0 , access clock information unlock phone
7|6|0 , clickjacking
7|6|9|0 , affect confidentiality integrity availability
7|6|0 , untrusted search path run resource
7|9|6|0|10 , leak partial memory internal sensitive datum disclosure
7|9|6|0|10 , obtain sensitive information obtain sensitive information
7|6|0 , system availability
3|7|6|9|1|0 , bypass authentication obtain sensitive information modify volume
7|6|0 , spoof trail substring address bar
7|9|6|0|10 , discover installation path
7|6|9|0 , execute arbitrary os command
7|9|6|0|10 , obtain sensitive information
7|6|9|0 , bypass javascript api execution restriction
3|10 , disclose sensitive information
7|6|0 , page fault remote denial service
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , information leak bounds read bounds read denial service copy datum memory information leak
3|7|6|4|0 , isapi security sessionlogin/ capability login enumerate user
5 , memory leak memory leak denial service outofmemoryerror
7|6|9|0 , delete arbitrary page post booking
7|9|6|0|10 ,
7|6|9|0 , remote code execution execute arbitrary code remote code execution
3|7|9|6|4|0 , compromise user account
7|6|0 , execute arbitrary code execute low privileged code arbitrary javascript execute install application
7|9|6|0|10 , bypass origin policy obtain sensitive information visit document
7|6|9|0 , bypass aslr protection mechanism
7|6|4|0 ,
7|9|6|0|10 , discover csrf token
7|9|6|0|10 , information disclosure exfiltrate sensitive information device
3|7|6|4|0 , login attempt application unlimited login attempt crack target user
3|7|6|9|1|0 , authentication bypass read datum edir directory
7|6|4|0 , reverse engineering
7|6|0 , denial service denial service
7|9|6|0|10 , information disclosure access datum outside permission level access sensitive datum
3|7|6|9|1|0 , sql injection exfiltrate sensitive datum database
3|9|1|0 , setup access point default credential
7|6|0 , execute arbitrary command
7|9|6|0|10 , xpath injection attack read arbitrary xml file
10 , unintended model editing editing ui post request effect pre post save
7|6|0 , arbitrary code execution
3|7|6|9|1|0 , session fixation hijack web session
3|7|6|4|0 , information disclosure vulnerability view certain information series operation information disclosure condition
7|6|0 , clickjacking
7|6|0 , write arbitrary file symlink attack
3|7|6|9|1|0 , unauthorized phone place unauthorized long distance phone
7|6|0 , input validation denial service
3|7|6|9|1|0 , session fixation hijack web session
7|6|0 , read render file mustache template file template injection
7|9|6|0|10 , read value memory
3|7|6|4|0 , brute force attack authentication process obtain multimedia screen access
7|9|6|0|10 , test file disk microsoft xml information disclosure
7|9|6|0|10 , obtain sensitive domain administrator password information
3|7|6|9|1|0 , privilege escalation
3|7|6|9|1|0 , unauthenticated option creation
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , data exposure
7|6|0 , execute arbitrary command root
7|6|0 , change permission arbitrary directory
7|6|4|0 , capture network traffic decrypt credential execute code escalate privilege
5 , memory leak denial service host memory consumption
7|6|0 , arbitrary code execution privilege escalation injection malicious dll
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , bypass os application filter execute arbitrary command
7|6|0 , denial service dos
7|9|6|0|10 , attack system
7|9|6|0|10 , information disclosure flaw extract confidential attribute value
7|6|0 , http header injection carriage return
7|6|0 , submit malicious igs request network internal memory corruption crash view modify
7|6|0 , process cross origin http request denial service
7|9|6|0|10 , acquire sensitive information
7|6|0 , local information disclosure
3|7|6|9|1|0 , execute arbitrary asp.net code
7|9|6|0|10 , retrieve complete report affect system information disclosure
7|6|0 , keystroke injection bypass encryption
7|6|0 , form validation form validation
7|6|0 , dll sideloading dll sideloading attack gain elevated permission execute arbitrary code
7|6|0 , denial service freeze cube stop respond
3|10 , send craft file
7|9|6|0|10 , directory traversal read arbitrary file
7|9|6|0|10 , path disclosure
7|6|0 , execute code execute code
7|9|6|0|10 , clipboard access
7|9|6|0|10 , enumerate user account
7|6|9|0 , upload execute file
5 , increase cpu memory usage denial service dos
7|9|6|0|10 , security feature bypass
7|6|0 , include execute arbitrary local perl file execute arbitrary code
7|9|6|0|10 , remote execution credential leak
7|6|0 , load arbitrary cascading style sheet css token sequence
7|6|0 , denial service crash
7|6|0 , execute arbitrary code create arbitrary file denial service
7|6|0 , server request forgery underlie server arbitrary request
7|6|0 , denial service segmentation fault application crash
5 , denial service memory leak
3|7|6|9|1|0 , bypass authentication
7|6|0 , untrusted search path gain privilege
7|6|4|0 ,
7|9|6|0|10 , sensitive information
7|6|0 , remote code execution
3|7|6|9|1|0|10 , obtain sensitive information
7|6|0 , denial service bsod unspecified impact
7|6|0 , log user account
7|9|6|0|10 , local malicious application access datum outside permission level
7|9|6|0|10 , obtain sensitive information windows kernel information disclosure
7|9|6|0|10 , obtain sensitive information
7|6|0 , trigger hash collision denial service cpu consumption
7|6|4|0 , hidden administrative account
7|6|0 , escalate privilege root escalate privilege level root
5 , invoke subset ioctl crash keneral denial service
7|9|6|0|10 , timing channel obtain access
7|9|6|0|10 , affect confidentiality
7|9|6|0|10 , obtain sensitive information process memory
7|9|6|0|10 , webhook token view confidential webhook token
7|9|6|0|10 , read unspecified file
7|6|4|0 , control device gain control affect device
7|6|0 , denial service variable expansion excessive memory usage crash restart excessive cpu usage hang
7|6|0 , obtain sensitive information
3|7|6|9|1|0 , bypass management mode access device
3|7|9|6|4|0 , discover login credential vote history
7|6|0 , improper input validation improper input validation crash service
7|9|6|0|10 , enumerate user account
7|9|6|0|10 , leave malicious website open
7|6|0 , enable denial service
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , compromise account credential
7|6|0 , cast multiple vote candidate
7|6|0 , improper input validation rpki policy check bypass spoof advertisement accept propagate
7|6|0 , replace file malicious linked content exploit cve-2020- escalation privilege
7|9|6|0|10 , obtain sensitive information bypass unspecified protection mechanism
7|9|6|0|10 , timing attack
3|7|6|9|1|0 , authentication bypass execute arbitrary cli command view modify appliance configuration policy shutdown restart appliance
7|6|0 , execute arbitrary code
7|6|0 , cause high cpu usage denial service dos condition trigger prolonged status high cpu utilization response time overall performance
7|6|0 , unauthenticated remote code execution
7|9|6|0|10 , improper disclosure memory content
7|9|6|0|10 , hash lockscreen aka screensaver modify file
3|7|6|9|1|0 , manipulate process security agent unload option privilege escalation code execution execute low privileged code
7|6|0 , remote file inclusion attack
7|9|6|0|10 , obtain sensitive metadata
7|9|6|0|10 , read student submit assessment
7|9|6|0|10 , obtain sensitive information
7|6|9|0 , impersonate user include contact social engineering attack
7|6|0 , junos os snmpd daemon crash restart partial denial service remote code execution
7|9|6|0|10 , obtain audio datum
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , firmware upgrade authentication internal debug function problem analysis performance tuning receive specific datum collect user privacy datum remote code execution
7|6|0 , execute arbitrary code pstream release rce
7|6|0 , modify cache
7|9|6|0|10 , obtain secret key
7|6|9|0 , bypass intend access restriction install update backup super administrator function
2 , execute arbitrary code execute code
7|6|9|0 , elevation privilege local malicious application access system function local bypass restriction
7|6|0 , denial service stop controller process network traffic
7|9|6|0|10 , javascript function obtain sensitive information
7|9|6|0|10 , unspecified impact cross domain referer leakage
7|6|0 , layer 2 radio frequency rf access point ap reload denial service dos condition ap reload dos condition recover
7|6|0 , remote code execution malicious injectable bash code http request follow url escape branch
7|9|6|0|10 , obtain sensitive information kernel stack memory
7|6|0 , bypass specifically configure mixer policy affect policy decision
7|9|6|0|10 , information exposure
5 , terminate scan process
7|6|0 , launch local application
3|10 , cleartext udp tunnel protocol obtain sensitive information sniff network
7|9|6|0|10 , information disclosure
3|9|1|0 , microsoft browser spoofing
7|9|6|0|10 , denial service access critical function reboot affect device
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , bypass authentication alter setting relay service server
7|9|6|0|10 , gain privilege
3|9|1|0 , spoof content omnibox
7|9|6|0|10 , obtain potentially sensitive information
7|6|9|0 , affect confidentiality integrity availability
7|6|0 , dll side- gain privileged access
7|6|0 , control termination remote denial service
7|6|9|0 , bypass intend access restriction microsoft browser security feature
7|6|0 , validation issue gain root privilege
7|6|0 , elevation privilege
7|9|6|0|10 , obtain log information
7|9|6|0|10 , obtain sensitive information hijack session
7|9|6|0|10 , obtain sensitive information disclose valid filepath server attack system
7|6|0 , assertion
7|6|0 , allocate memory block
7|6|0 , execute arbitrary php code
7|9|6|0|10 , bypass aslr protection mechanism
7|6|0 , spoof ssl server dn check
7|6|0 , spoof filename attachment display arbitrary attachment open remote attachment
7|6|4|0 , encrypt authenticate secure applet
3|7|6|9|1|0 , hit endpoint
7|6|0 , elevation privilege execute arbitrary code compromise privileged process
7|6|0 , denial service
7|6|0 , denial service
7|9|6|0|10 , bypass aslr protection mechanism
3|7|6|9|1|0 , use second factor
7|6|0 , inject arbitrary log entry
7|6|0 , denial service
7|6|0 , ldss dissector crash packet injection
7|9|6|0|10 , improper cache invalidation disclosure form content
3|7|6|9|1|0 , incorrect access control
7|9|6|0|10 , defeat intend anonymity property
7|9|6|0|10 , disclose kernel memory address
7|6|4|0 ,
7|6|0 , credential disclosure
7|9|6|0|10 , information disclosure
7|9|6|0|10 , leak information
7|6|0 , untrusted search path gain privilege
7|6|0 , bypass origin policy script injection attack
7|6|0 , overwrite arbitrary file
3|7|6|4|0 , gain access brute force password attack
3|7|9|6|4|0 , obtain sensitive information
7|6|0 , input verification random address access
3|7|6|9|1|0 , incorrect access control id card trade license
7|9|6|0|10 , information exposure negotiation weak cipher obtain sensitive information display plaintext bit block ciphertext obtain sensitive information
7|6|0 , overwrite arbitrary file
7|6|0 , replace dll file malicious denial service
7|6|0 , execute arbitrary code denial service memory corruption memory corruption
3|7|6|9|1|0 , bypass authentication change trust relationship
3|10 , expose plain text
7|6|0 , denial service bsod unspecified impact
7|6|0 , partial denial service dos condition
7|9|6|0|10 , obtain sensitive information device physical environment discover pin value
7|6|0 , untrusted search path gain privilege
7|6|0 , domain spoofing
3|7|6|9|1|0 , authentication bypass
7|6|0 , modify registered e mail address
2 , cleartext transmission sensitive information
3|7|6|9|1|0 , circumvent authentication administrative operation
7|6|0 , file rename filter rename media filename extension execute arbitrary php code
3|7|9|6|4|0 , enable information disclosure
3|7|9|6|4|0 , log target router obtain root privilege
7|6|0 , execute arbitrary code
7|6|4|0 ,
7|9|6|0|10 , obtain sensitive information
9|0 , denial service
7|9|6|0|10 , obtain potentially sensitive information kernel memory result modprobe process
7|6|0 , cover location bar content spoof attack
7|6|0 , create secrets automation access token privilege escalation create token access
3|7|9|6|4|0 , login credential
7|6|0 , escalation privilege local access
3|7|9|6|4|0 , password information memory
7|6|0 , retrieve user profile information disclosure confidential information view profile information
7|6|0 , synchronize file nextcloud server malicious ` uninstall.exe create content ` c:\ ` system folder
7|6|0 , denial service memory consumption service outage memory consumption
7|6|0 , exploit heap corruption
7|6|9|0 , compromise solaris cluster unauthorized read access
7|6|0 , denial service mtu change tunnel session drop
3|7|6|9|1|0 , bypass password base authentication modify arbitrary directory services record
7|9|6|0|10 , core dump key password block access
7|6|0 , compromise renderer process privilege escalation
7|6|0 , trigger truncation apfs volume password
7|9|6|0|10 , spoof certificate fingerprint log user
7|9|6|0|10 , bypass origin policy
7|9|6|0|10 , disclose information information disclosure
7|9|6|0|10 , exec command code execution
5 , memory allocation failure denial service
7|9|6|0|10 , information disclosure
7|9|6|0|10 , capture cookie
7|6|0 , dns rebinding
7|6|0 , denial service
3|7|6|9|1|0 , brute force attack
7|9|6|0|10 , privileged database user account password
3|7|6|9|1|0 , denial service
7|9|6|0|10 , disclosure sensitive notification content local information disclosure
7|6|0 , denial service application crash
7|9|6|0|10 , write bugreport kernel log wi fi password read data access user store wireless network credential
7|6|0 , denial service require assertion failure daemon exit
7|9|6|0|10 , information disclosure
7|6|0 , arbitrary code execution
3|9|1|0 , suspicious html mime structure
7|6|0 , trigger hash collision denial service cpu consumption
10 , obtain sensitive information http response behavior
7|9|6|0|10 , information disclosure
10 , privilege escalation escalate privilege nt system
7|9|6|0|10 , obtain sensitive information drag drop information disclosure
7|6|0 , gain privilege
7|9|6|0|10 , plan attack
7|6|0 , command injection
7|6|0 , denial service daemon crash mailbox corruption
7|9|6|0|10 , mount attack system
7|6|0 , bounds access
7|6|0 , denial service dos condition affect device crash reload dos condition
7|6|0 , improper input validation cause dos condition product
5 , unspecified impact memory allocation failure
7|9|6|0|10 , obtain sensitive retrieve datum
9|8 , remote code execution remote code execution
5 , overwrite memory leak denial service
7|9|6|0|10 , read content cross domain information disclosure
7|6|0 , denial service dos condition participant dos condition
7|6|0 , follow symbolic link outside allow directory
3|7|9|6|4|0 , random password password plain text
7|6|0 , domain spoofing
7|6|0 , path vulnerability arbitrary file deletion
7|6|0 , sigabrt reproduce sigabrt
7|6|9|0 , bypass signature verification
3|7|6|9|1|0 , bypass application authentication gain unauthorized root access
3|7|6|9|1|0 , read file specific directory
7|9|6|0|10 , defeat aslr protection mechanism
7|6|0 , execute arbitrary code execute code
7|6|9|0 , compromise oracle flexcube universal banking impact additional product update insert delete access unauthorized read access
5 , attempt excessive memory allocation
7|9|6|0|10 , load page interfere loading usage page use capability
7|6|9|0 , dos attack openssl crash
7|9|6|0|10 , modify registry key execution malicious code
3|7|6|9|1|0 , undo replace mapping identity- identity mapping range memory
3|7|6|9|1|0 , bypass authentication
7|6|0 , dll hijacking
7|6|4|0 ,
7|6|9|0 , unspecified impact
7|6|0 , argument injection attack
7|6|0 , purchase item
7|9|6|0|10 , spoof connection information launch attack system
7|6|0 , elevation privilege access system file elevate privilege
7|6|0 , compromise mysql cluster partial denial service partial dos mysql cluster
7|9|6|0|10 , bounds read denial service information disclosure
7|6|0 , steal asset transfer contract balance account
7|6|0 , escalate privilege unrestricted user restricted shell gain unrestricted user access restricted shell
7|6|0 , execute arbitrary code
7|9|6|0|10 , gain sysdba permission
5 , ethernet communication leave open state
3|7|9|6|4|0 , defeat cryptographic protection mechanism harden issue
7|6|0 , overwrite arbitrary file
7|6|4|0 ,
7|6|4|0 , gain access system
5 , set flood attack
7|6|0 , gain root privilege
7|9|6|0|10 , information disclosure
7|6|0 , denial service application crash bounds read
7|6|0 , resource exhaustion remote denial service
7|9|6|0|10 , return sensitive information critical information underlie software stack
7|9|6|0|10 , view sensitive information view sensitive system configuration file
7|9|6|0|10 , administrative password obtain sensitive information
3|7|6|9|1|0 , bypass authentication
7|6|0 , elevation privilege
7|6|0 , send request
7|6|0 , read datum arbitrary memory location denial service application crash
7|6|0 , elevation privilege
7|6|0 , modification assumed immutable datum maid modify prototype object addition modification exist property
7|6|0 , argument injection attack
7|6|0 , denial service application crash
7|9|6|0|10 , man the- obtain sensitive information
3|7|9|6|4|0 , header gain access credential
3|7|6|9|1|0 , execute arbitrary code
7|6|0 , denial service application crash unspecified impact
7|6|0 , execute arbitrary code
7|6|0 , content spoofing text injection inject text present customize message application
7|9|6|0|10 , obtain sensitive information
7|6|0 , execute arbitrary code denial service dos condition overflow buffer execute arbitrary code dos condition
7|9|6|0|10 , discover wi fi password
7|9|6|0|10 , view detail printer associate
5 , prevent legitimate agent connect spice vdagentd denial service system availability
3|7|9|6|4|0 , retrieve decrypt credential store onvif server
7|6|4|0 , inbound authentication outbound communication external component encryption internal datum
7|6|0 , symbolic link attack
3|7|6|9|1|0 , execute code user define local smb
7|6|0 , segfault
7|6|0 , perform action send request
7|6|4|0 , reconstruct decryption process obtain easy access protect datum
7|9|6|0|10 , read support ticket arbitrary user
7|9|6|0|10 , recently use party app
7|6|0 , man- obtain sensitive information unspecified impact
7|6|0 , denial service application crash
7|9|6|0|10 , information disclosure
7|6|0 , buffer -read denial service
7|6|0 , documentum query language dql injection attack bypass intend restriction query
7|9|6|0|10 , man the- spoof server obtain sensitive information
7|6|0 , denial service stop vnet ip open communication driver
7|6|0 , execute arbitrary code denial service memory corruption memory corruption
7|9|6|0|10 , inadvertently disclose
7|6|0 , upload jpg jpeg bmp
7|6|0 , gain privilege
7|6|9|0 , compromise oracle flexcube private banking impact additional product unauthorized access critical datum complete access unauthorized update insert delete access
7|9|6|0|10 ,
7|9|6|0|10 , display attribute value view private attribute password hash
3|7|9|6|4|0 , obtain user password hash
7|6|4|0 , impersonation man the- middle passive decryption attack
9|0 , session fixaction impersonate user
7|6|0 , denial service universal push notification outage uncaught safarinotificationagent exception
7|9|6|0|10 , obtain sensitive information report error proceed
7|6|0 , denial service bsod unspecified impact
7|9|6|0|10 , obtain sensitive information
10 ,
5|7|6|0 , memory leak buffer overflow
7|9|6|0|10 , determine existence system file
7|9|6|0|10 , read message access online service
7|6|0 , escalation privilege local access
7|9|6|0|10 , obtain credential sniff network
3|7|6|9|1|0 , authentication bypass
7|6|0 , identity firewall idfw change user cache content replay attack
3|7|6|9|1|0 , compromise user session
5 , memory leak
3|10 , spoof feed schedule datum
3|7|6|9|1|0 , bypass intend wireless network sharing
7|6|0 , obtain administrative access
7|6|0 , denial service null pointer dereference application crash
7|6|0 , install craft application modify specific datum execute arbitrary code
7|6|9|0 , bypass nonce check perform arbitrary action
7|6|0 , spoof web content microsoft edge spoofing
5 , miss release resource cause dos device
7|9|6|0|10 , modify e mail address setting send sensitive information
7|6|0 , denial service dos condition reload
7|9|6|0|10 , execute arbitrary code gain access device manage cross site request forgery csrf information leak command injection attack vector
7|9|6|0|10 , obtain calendar owner password
5 , memory error denial service
7|9|6|0|10 , obtain sensitive information
7|6|0 , prevent user learn
7|9|6|0|10 , read arbitrary file email email account
7|6|4|0 , hidden root account
7|6|0 , privilege escalation delete file redirect mcafee delete action unintended file
7|6|0 , escalation privilege local access
9|0 , security feature bypass
2 , mitm attack
2 , information disclosure video stream intercept transmission
7|6|0 , create fake url client visit unintended web site
7|6|0 ,
3|7|6|9|1|0 , authentication bypass authenticate attack interest
7|6|0 , command injection
2 , cookie send http request capture cookie
7|9|6|0|10 , privilege escalation
7|6|0 , bypass security restriction achieve arbitrary code execution
7|9|6|0|10 , information disclosure problem
7|6|0 , array index error denial service application crash
3|7|9|6|4|0 , unprotected transport credential capture credential
3|7|6|9|1|0 , access control bypass access restriction obtain datum bulletin board
7|9|6|0|10 , access datum outside permission level
3|7|6|9|1|0 , session fixation hijack web session
3|7|6|9|1|0 , gain unauthorized access complete authentication process execute data management protocol command execute arbitrary command
7|9|6|0|10 , access sensitive datum application gain information additional reconnaissance attack discover sensitive datum application
7|9|6|0|10 , client server run- obtain sensitive information
7|6|0 , bound memory read
7|6|0 , bound remote information disclosure
7|6|0 , bookmark creation execute arbitrary code spoof bookmark
3|9|1|0 , gain root privilege
2 , obtain sensitive information obtain sensitive information
7|6|0 , execute arbitrary code remote code execution
7|9|6|0|10 , integer overflow obtain sensitive information denial service memory consumption
7|6|0 , denial service infinite loop cpu consumption
5 , memory leak memory leak system exception
7|6|0 , read arbitrary file denial service xml external entity xxe
7|6|0 , denial service room unusable
7|6|0 , execute arbitrary code
7|6|0 , obtain sensitive information bypass intend request dispatcher access denial service memory consumption
7|9|6|0|10 , obtain sensitive cleartext information
7|6|0 , execute arbitrary command
10 , secure value
7|6|9|0 , obtain software removal tool spoof chrome_cleanup_tool.exe
7|6|0 , command execution vulnerability
7|6|0 , execute arbitrary command underlie operating
7|6|0 , modify web page context browser pass html code affect parameter alter content web page redirect user potentially malicious web site client attack
7|9|6|0|10 , read scan document
7|6|4|0 , hidden root account
7|6|9|0 , compromise oracle flexcube investor servicing unauthorized read access
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , read arbitrary file server
3|7|6|9|1|0 , obtain sensitive information modify datum
7|6|0 , denial service segmentation fault unexpected pagesize value
7|9|6|0|10 , obtain potentially sensitive information
7|6|0 , invalid memory access
7|9|6|0|10 , limited information disclosure
7|9|6|0|10 , read arbitrary file xml external entity xxe
3|7|6|9|1|0 , elevation privilege
7|6|0 , denial service stack base buffer overflow application crash
7|9|6|0|10 , bypass intend access restriction obtain sensitive information
7|9|6|0|10 , compromise oracle bi publisher unauthorized access complete access
7|9|6|0|10 , collect user behavior datum
7|9|6|0|10 , download store moodle file
7|6|0 , denial service local access
7|6|0 , code execution denial service escalation privilege
7|9|6|0|10 , run specially craft application
7|9|6|0|10 , compromise oracle flexcube private banking impact additional product unauthorized read access
7|6|0 , http response splitting
10 , bypass access restriction obtain unauthorized image datum
3|7|6|9|1|0 , remote authentication bypass
7|9|6|0|10 , read filesystem content
7|6|4|0 , bypass authentication and/or authorization
3|7|6|9|1|0 , impersonation
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , information disclosure elevation privilege gain access user workspace
3 , obtain cleartext value
9|0 , connection bus
5 , elevation privilege
7|6|0 , execute arbitrary file
7|9|6|0|10 , obtain sensitive information user
7|6|0 , use unsafe yaml load instantiation arbitrary object creation python object ros master execute arbitrary code
7|6|0 , untrusted search path gain privilege
7|6|0 , download iso file follow symlink prepare symlink attack create overwrite file arbitrary file system location privilege escalation
7|6|0 , crash
7|9|6|0|10 , obtain sensitive information defeat cryptographic protection mechanism
7|6|0 , denial service device reload
3|7|6|9|1|0 , incorrect access control hash collision
7|6|0 , escalation privilege execute code
7|9|6|0|10 , read arbitrary file
3|7|9|6|4|0 ,
7|6|0 , pointer validation bypass intend access restriction
7|6|4|0 , access system obtain high permission
7|6|0 , denial service
7|6|0 , denial service interface wedge
7|9|6|0|10 , read arbitrary file
7|9|6|0|10 , obtain sensitive host information
7|9|6|0|10 , information disclosure
10 , non destructive operation
3|7|6|9|1|0 , execute sensitive function
3|7|6|9|1|0 , authentication bypass
3|7|6|9|1|0 , hijack temporary credential
3|7|9|6|4|0 , obtain sensitive credential information
7|6|0 , denial service excessive print dialog
7|6|0 , improper input validation kernel crash
7|6|0 , open manipulate pdf file crashing application
7|6|0 , denial service bsod unspecified impact
3|7|6|9|1|0 , deny service
7|6|0 , denial service sparse tensor
3|7|6|9|1|0 , authentication bypass circumvent exist authentication control
7|6|4|0 , hidden root account
7|6|0 , load node module code execution denial service escalation privilege information disclosure
7|6|0 , submit malicious igs request network internal memory corruption crash view modify
7|6|0 , punycode format punycode display limit spoofing attack
7|9|6|0|10 , arbitrary file
3|7|9|6|4|0 , alternate file vaild file backup leak database credential
7|6|0 , execute arbitrary command
5 , denial service memory consumption
3|7|6|9|1|0 , \n injection create overwrite file specific content admin session crafting gain web ui admin privilege
5 , denial service memory allocation
7|6|0 , input validation issue
3|7|9|6|4|0 , bypass policy restriction create non compliant password intercept decrypt man middle
7|6|0 , untrusted search path gain privilege
7|6|0 , remote http parameter pollution
7|6|0 , open redirect redirect user arbitrary web site phishing attack
7|6|0 , denial service process crash disconnection
7|6|0 , man execute arbitrary command signature replay
7|9|6|0|10 , determine existence local file
7|6|0 , leak user cross origin datum
7|9|6|0|10 , access configuration file dro
7|9|6|0|10 , obtain sensitive information kernel memory information disclosure
7|9|6|0|10 , log error message
3|7|6|9|1|0 , decrypt jwt token authentication bypass
7|9|6|0|10 , escalation privilege local access
7|6|0 , execute arbitrary code
7|6|0 , send rpc request overwrite file outside cryptctl key database
7|9|6|0|10 , enumerate potential cloud id discover connect valid device use
9|0 , access hijack httpsession delete unmatched httpsession present
7|6|0 , denial service unhandled exception process crash
3|7|6|9|1|0 , bypass authentication
7|6|0 , remote code execution
7|9|6|0|10 , bypass intend securitymanager restriction read arbitrary http request discover session id value
7|9|6|0|10 , consistency issue
7|6|0 , incorrect access control delete file read certain file server
7|6|0 , hijack clicking action hijack victim click action launch attack victim
9|0 , limited session fixation
7|6|0 , denial service iscsi service outage remote denial service
7|6|0 , unauthenticated message dynamically load uninoldis.dll escalate system level privilege
7|6|0 , graphics device interface gdi execute arbitrary code denial service memory corruption access violation
7|6|0 , validation issue read restrict memory
7|9|6|0|10 , obtain sensitive query structure information
10 , escalation privilege local access
7|6|0 , code execution
3|7|6|9|1|0 , authentication bypass permanently disable authentication security control access management interface
7|9|6|0|10 , activate plugin
7|6|0 , execute arbitrary command
5 ,
7|6|0 , denial service resource consumption application crash
7|9|6|0|10 , read cleartext password
7|6|0 , improper input validation read file upload
3|9|6|1|4|0 , replay attack
7|6|0 , mount fuse filesystem crash system
7|6|4|0 ,
7|6|0 ,
7|6|0 , bypass origin policy
7|9|6|0|10 , generate password recovery code
7|6|0 , gain remote code execution server template injection
7|6|0 , enable denial service local access
10 , default permission elevation privilege provide access control
3|7|6|9|1|0 , obtain sensitive information perform unauthorized action
7|6|0 , partially create
7|6|0 , spoof url bar
7|9|6|0|10 , information exposure read root uid 0 password hash confidentiality impact
7|9|6|0|10 , remote code execution
5 , device low system memory unexpected reload device denial service dos condition unexpected reload device
7|9|6|0|10 , determine tls key pair
7|6|9|0 , bypass origin policy
